키워드,참조 수,트랙,역량_ID,역량명
802.1x,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
8pt grid,1.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
@datajpatest,1.0,백엔드,BE-TEST-002,통합 테스트
a/b test,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
a11y,2.0,프론트엔드,FE-PERF-002,접근성(a11y)
a11y,2.0,UI_UX_디자이너,UX-COL-002,접근성(a11y)
abstract,1.0,UI_UX_디자이너,UX-COL-003,Git/디자인 버전 관리
access control,1.0,인프라_시스템운영,IO-SEC-001,보안 정책·운영
accessibility,3.0,프론트엔드,FE-PERF-002,접근성(a11y)
accessibility,3.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
accessibility,3.0,UI_UX_디자이너,UX-COL-002,접근성(a11y)
acronis,1.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
active directory,1.0,인프라_시스템운영,IO-OS-002,Windows Server
ad,1.0,인프라_시스템운영,IO-OS-002,Windows Server
adapter,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
adobe xd,1.0,UI_UX_디자이너,UX-TOOL-002,Sketch / Adobe XD (부가)
adr,1.0,백엔드,BE-COL-003,기술 문서화
aggregate,1.0,백엔드,BE-ARCH-002,DDD (도메인 주도 설계)
aggregation,1.0,백엔드,BE-DB-005,NoSQL (MongoDB / Elasticsearch)
agile,1.0,백엔드,BE-COL-004,애자일·스크럼
ahnlab,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
aks,1.0,인프라_클라우드,IC-CLOUD-002,GCP / Azure (부가)
alert,1.0,인프라_클라우드,IC-OBS-001,메트릭·모니터링
amplitude,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
amqp,1.0,백엔드,BE-MSG-002,RabbitMQ / 일반 큐
angular,1.0,프론트엔드,FE-LANG-004,Vue / Angular (부가)
ansible,1.0,인프라_클라우드,IC-IAC-002,Ansible / 설정 관리
antivirus,1.0,인프라_시스템운영,IO-SEC-002,엔드포인트 보안
aop,1.0,백엔드,BE-LANG-002,Spring Boot
ap,1.0,인프라_시스템운영,IO-NET-003,Wi-Fi·무선
api docs,1.0,백엔드,BE-API-002,API 문서화
app router,1.0,프론트엔드,FE-LANG-003,Next.js
argocd,1.0,인프라_클라우드,IC-CONT-003,GitOps / ArgoCD
aria,1.0,프론트엔드,FE-PERF-002,접근성(a11y)
assertj,1.0,백엔드,BE-TEST-001,단위 테스트
asset management,1.0,인프라_시스템운영,IO-ITAM-001,IT 자산 관리
async,2.0,백엔드,BE-LANG-006,비동기·리액티브
async,2.0,프론트엔드,FE-LANG-001,JavaScript / TypeScript
atomic design,1.0,UI_UX_디자이너,UX-DS-002,컴포넌트 체계
authentication,1.0,백엔드,BE-LANG-005,Spring Security / 인증
auto layout,1.0,UI_UX_디자이너,UX-TOOL-001,Figma
auto scaling,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
auto-scaling,1.0,백엔드,BE-PERF-002,부하 분산·스케일링
avif,1.0,프론트엔드,FE-PERF-003,이미지·미디어 최적화
awk,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
aws,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
axios,1.0,프론트엔드,FE-STATE-003,API 통신
azure,1.0,인프라_클라우드,IC-CLOUD-002,GCP / Azure (부가)
backpressure,1.0,백엔드,BE-LANG-006,비동기·리액티브
backup,2.0,인프라_시스템운영,IO-STOR-002,백업·재해복구
backup,2.0,인프라_시스템운영,IO-SEC-004,랜섬웨어 대응
bash,1.0,인프라_시스템운영,IO-OS-003,셸 스크립팅
bean,1.0,백엔드,BE-LANG-002,Spring Boot
bec,1.0,인프라_시스템운영,IO-SEC-003,이메일 보안·계정 탈취 대응
bem,1.0,프론트엔드,FE-STYL-001,CSS·HTML 기초
bgp,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
blue-green,2.0,백엔드,BE-OPS-002,CI/CD
blue-green,2.0,인프라_클라우드,IC-CICD-003,배포 전략
bottleneck,1.0,백엔드,BE-PERF-004,대용량 트래픽 처리
bounded context,1.0,백엔드,BE-ARCH-002,DDD (도메인 주도 설계)
branch,2.0,백엔드,BE-COL-001,Git/GitHub 흐름
branch,2.0,프론트엔드,FE-COL-003,Git/GitHub 흐름
breakpoint,1.0,UI_UX_디자이너,UX-VIS-003,반응형·다크모드
build,1.0,백엔드,BE-LANG-007,빌드·의존성 관리
bundle,1.0,프론트엔드,FE-BUILD-001,번들러 / 빌드 도구
bundle analysis,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
cache,2.0,백엔드,BE-DB-004,Redis (캐시·세션)
cache,2.0,백엔드,BE-PERF-001,캐시 전략
cacheable,1.0,백엔드,BE-PERF-001,캐시 전략
canary,2.0,백엔드,BE-OPS-002,CI/CD
canary,2.0,인프라_클라우드,IC-CICD-003,배포 전략
card sorting,1.0,UI_UX_디자이너,UX-IA-001,IA·와이어프레임
cardinality,1.0,백엔드,BE-DB-002,쿼리 최적화
cd,2.0,백엔드,BE-OPS-002,CI/CD
cd,2.0,인프라_클라우드,IC-CICD-001,GitHub Actions
cdc,1.0,백엔드,BE-ARCH-004,이벤트 기반 아키텍처
centos,1.0,인프라_시스템운영,IO-OS-001,Linux 운영
chromatic,1.0,프론트엔드,FE-COL-002,Storybook
ci,2.0,백엔드,BE-OPS-002,CI/CD
ci,2.0,인프라_클라우드,IC-CICD-001,GitHub Actions
cisco,1.0,인프라_시스템운영,IO-NET-001,L2/L3 스위칭·라우팅
citrix,1.0,인프라_시스템운영,IO-VIRT-003,VDI / 원격 데스크톱
clean architecture,1.0,백엔드,BE-ARCH-003,계층화·헥사고날·클린
cloud run,1.0,인프라_클라우드,IC-CLOUD-002,GCP / Azure (부가)
cloudfront,1.0,인프라_클라우드,IC-CLOUD-001,AWS 기본
cls,1.0,프론트엔드,FE-PERF-001,코어 웹 바이탈
code review,1.0,백엔드,BE-COL-002,코드 리뷰
cohort,1.0,UI_UX_디자이너,UX-RSCH-003,데이터 기반 의사결정
color system,1.0,UI_UX_디자이너,UX-VIS-001,타이포·컬러·그리드
completablefuture,1.0,백엔드,BE-LANG-006,비동기·리액티브
component,3.0,프론트엔드,FE-STYL-003,컴포넌트 디자인
component,3.0,UI_UX_디자이너,UX-TOOL-001,Figma
