카테고리,역량_ID,역량명,신입 (0년),주니어 (1-2년),시니어 (3-5년),리드 (5년+),매칭 키워드,부족 시 보완 액션,가중치
언어·프레임워크,BE-LANG-001,Java/Kotlin 기초,"기본 문법, OOP, 컬렉션, 람다·스트림 가이드 받으며 사용",단독으로 기능 단위 구현. 제네릭·예외처리·동시성 기본 이해,메모리 모델·GC 동작 이해. 코루틴/CompletableFuture 자유롭게 사용,"JVM 튜닝, 언어 선택 의사결정, 사내 코드 컨벤션 수립","Java,Kotlin,JDK,JVM,OOP,Generic,Stream,Lambda,Coroutine","이펙티브 자바, 모던 자바 인 액션 학습. 작은 토이 프로젝트(REST API) 1건",5
언어·프레임워크,BE-LANG-002,Spring Boot,튜토리얼 기반 CRUD 앱 작성 경험,"Controller·Service·Repository 분리, 의존성 주입, 프로파일 분리",AOP·인터셉터·필터 활용. 자동설정 커스터마이징. 스타터 작성,프레임워크 코어 동작 이해. 사내 표준 보일러플레이트 설계,"Spring Boot,Spring Framework,DI,IoC,AOP,Bean,Starter",공식 docs + 토비의 스프링 일독. CRUD에 인증/예외/검증 추가하기,5
언어·프레임워크,BE-LANG-003,Spring Data JPA / Hibernate,엔티티·리포지토리 정의 가능. 단순 CRUD,"연관관계(1:N, N:1) 매핑, FetchType, 영속성 컨텍스트 이해","N+1·LazyInit 이슈 해결, dirty checking, 2차 캐시, 벌크 연산","도메인-영속성 경계 설계, 멀티 데이터소스, 샤딩 전략","JPA,Hibernate,Entity,Repository,Lazy,Fetch,Persistence,N+1",자바 ORM 표준 JPA 프로그래밍 책. 사이드 프로젝트에 영속성 컨텍스트 동작 직접 관찰,5
언어·프레임워크,BE-LANG-004,QueryDSL / 동적 쿼리,복잡한 검색 조건은 JPQL로 작성 가능,QueryDSL로 동적 쿼리·페이징 작성,프로젝션·DTO 매핑·서브쿼리·윈도우 함수 활용,"조회 전용 모델 설계, CQRS 적용 결정","QueryDSL,JPQL,Dynamic Query,Projection,DTO,Pagination",검색 화면 1개 만들기 (다중 조건 동적 쿼리),3
언어·프레임워크,BE-LANG-005,Spring Security / 인증,BasicAuth 또는 폼 로그인 사용 경험,JWT·OAuth2 클라이언트 구성. 메서드 보안 어노테이션,커스텀 필터·UserDetailsService 구현. RBAC/ABAC 설계,"SSO 통합, 토큰 회전 전략, 보안 사고 대응","Spring Security,JWT,OAuth2,RBAC,Filter,Authentication",소셜 로그인(카카오/구글) 직접 붙여보기. 토큰 재발급 흐름까지,4
언어·프레임워크,BE-LANG-006,비동기·리액티브,용어 수준 이해,CompletableFuture·@Async 사용. 코루틴 기본,"Reactor/WebFlux로 비동기 파이프라인 구성, 백프레셔 이해","동기·비동기 패러다임 선택, 리액티브 풀스택 설계","Reactor,WebFlux,CompletableFuture,Async,Coroutine,Backpressure",WebFlux 튜토리얼 + 기존 동기 API 1개를 비동기로 리팩토링,2
언어·프레임워크,BE-LANG-007,빌드·의존성 관리,Gradle/Maven 기본 빌드 가능,"멀티 모듈, 프로파일별 빌드, 의존성 충돌 해결","커스텀 플러그인 작성, 빌드 캐시·병렬 빌드 최적화",조직 표준 빌드 인프라 설계,"Gradle,Maven,Build,Multi-module,Dependency",본인 프로젝트를 멀티 모듈로 리팩토링,2
데이터베이스,BE-DB-001,관계형 DB·SQL 기본,SELECT/JOIN/GROUP BY 작성. 정규화 개념 이해,트랜잭션·격리 수준 이해. 인덱스 활용,"실행 계획 읽기, 통계·통계 분석, 파티셔닝","데이터 모델링 결정, 쿼리 표준 수립","SQL,RDBMS,MySQL,PostgreSQL,JOIN,Transaction,Isolation,Index",리얼 MySQL 또는 PostgreSQL 공식 문서. SQL 문제풀이 50문제,5
데이터베이스,BE-DB-002,쿼리 최적화,EXPLAIN으로 실행 계획 봤음,"N+1 진단·해결, 복합 인덱스 설계","옵티마이저 동작, 통계 갱신, 슬로우 쿼리 모니터링",DB 성능 진단·튜닝 표준 수립,"EXPLAIN,Index,N+1,Slow Query,Query Plan,Cardinality",본인 프로젝트 슬로우 쿼리 1개 → 인덱스/쿼리 개선 → 수치 측정,5
데이터베이스,BE-DB-003,ERD·데이터 모델링,ERD 그릴 수 있고 정규화 1·2·3차 차이 설명 가능,"도메인 기반 모델링, 비정규화 트레이드오프 판단","이력성·시계열 데이터 설계, 데이터 마이그레이션 전략",전사 데이터 표준·마스터 데이터 정의,"ERD,Normalization,Denormalization,Schema Design,DDL",본 프로젝트(2chi)의 ERD를 직접 그려보고 검토,4
데이터베이스,BE-DB-004,Redis (캐시·세션),GET/SET 수준 사용,"캐시 패턴(Cache-aside, Write-through), TTL 설계","분산 락(Redlock), Pub/Sub, Streams, 클러스터링","캐시 전략 표준 수립, 데이터 일관성 모델 결정","Redis,Cache,TTL,Lock,Pub/Sub,Redlock,Stream",Redis 캐시 도입 사이드 프로젝트 1건,3
데이터베이스,BE-DB-005,NoSQL (MongoDB / Elasticsearch),용어 수준 이해,기본 CRUD·인덱스 사용 경험,"스키마 설계 트레이드오프, 검색·집계 파이프라인","데이터 저장소 선택 의사결정, 폴리글랏 퍼시스턴스 설계","MongoDB,Elasticsearch,NoSQL,Document,Search,Aggregation",검색 기능을 Elasticsearch로 붙여보기,2
데이터베이스,BE-DB-006,DB 마이그레이션,DDL을 수동으로 실행하는 수준,Flyway/Liquibase로 버전 관리,"무중단 마이그레이션, 롤백 전략, 대용량 변경",팀 마이그레이션 정책·리뷰 표준,"Flyway,Liquibase,Migration,Schema Version,DDL",본 프로젝트에 Flyway 도입 + V1__init 작성,3
API 설계,BE-API-001,REST API 설계,리소스·메서드 매칭 기본 이해,"URI 설계 원칙, HTTP 상태 코드, idempotency","API 버저닝, 하위호환성, 페이지네이션·필터 표준","조직 REST 가이드 수립, API 거버넌스","REST,RESTful,HTTP,URI,Versioning,Idempotent,Status Code",API 가이드 1개 정독 (Microsoft REST API Guidelines 등) + 본 프로젝트 API 설계,5
API 설계,BE-API-002,API 문서화,Swagger UI 보면서 호출,Springdoc/Swagger 어노테이션으로 자동 문서화,"예시·에러 시나리오 문서화, 외부 공개 API 운영",문서·SDK·CLI 일관 자동 생성 파이프라인,"OpenAPI,Swagger,Springdoc,API Docs",본 프로젝트 API에 Swagger 적용 + 외부 공유 가능 수준으로 작성,3
API 설계,BE-API-003,에러 처리·예외 표준,try-catch 작성 가능,"@ControllerAdvice로 전역 핸들러, 표준 에러 응답 정의","도메인 예외·인프라 예외 분리, 에러 코드 체계","에러 추적·알림 표준, 사용자 친화 메시지 가이드","Exception,Error Handling,ControllerAdvice,Error Code",본 프로젝트에 에러 코드 체계 + 글로벌 핸들러 설계,4
API 설계,BE-API-004,GraphQL or gRPC,용어 수준 이해,기본 사용 경험,"스키마 설계, N+1 해결, 성능·복잡도 트레이드오프",통신 프로토콜 선택 의사결정,"GraphQL,gRPC,Schema,Protocol Buffer",GraphQL 또는 gRPC로 작은 서비스 1개 구현,1
아키텍처,BE-ARCH-001,모놀리식 vs MSA,용어 차이 이해,도메인 분리 기준·서비스 경계 정의 시도,분산 트랜잭션·SAGA·Outbox 패턴,조직 수준 아키텍처 의사결정,"Monolith,MSA,Microservice,Saga,Outbox,Distributed",모놀리식 한 부분을 작은 서비스로 분리 실험,5
아키텍처,BE-ARCH-002,DDD (도메인 주도 설계),용어 수준 이해,엔티티·VO·애그리거트 구분,"Bounded Context·이벤트 스토밍 진행, 도메인 모델 정제",조직 컨텍스트 매핑·전략적 설계,"DDD,Domain,Aggregate,Bounded Context,Event Storming",DDD Start! 또는 도메인 주도 설계 핵심 책 1독,3
아키텍처,BE-ARCH-003,계층화·헥사고날·클린,Controller/Service/Repository 3계층 작성,"포트·어댑터 분리, 의존성 역전","유즈케이스 중심 설계, 인프라 교체 용이성",조직 아키텍처 표준,"Hexagonal,Clean Architecture,Layered,Port,Adapter,DIP",본 프로젝트의 자소서 모듈을 헥사고날 구조로 설계 시도,3
아키텍처,BE-ARCH-004,이벤트 기반 아키텍처,이벤트 개념 이해,도메인 이벤트 발행·구독 구현,"이벤트 스트리밍, CDC, 멱등성 보장",이벤트 표준·스키마 거버넌스,"Event-Driven,Event Sourcing,CDC,Pub/Sub,Idempotent",회원가입 시 환영 메일을 이벤트로 비동기 발송 구조 만들기,2
운영·인프라,BE-OPS-001,Docker / 컨테이너,"Dockerfile 작성 가능, 단일 컨테이너 실행","멀티스테이지 빌드, docker-compose, 볼륨·네트워크","이미지 최적화, 보안 스캔, 컨테이너 라이프사이클",조직 컨테이너 표준,"Docker,Container,Dockerfile,Compose,Image",본 프로젝트 v1 docker-compose 구성,5
운영·인프라,BE-OPS-002,CI/CD,GitHub Actions 또는 Jenkins 사용 경험,테스트·빌드·이미지 푸시 파이프라인 작성,"배포 전략(블루그린·카나리), 환경별 승인",조직 CD 인프라 설계,"CI,CD,GitHub Actions,Jenkins,Pipeline,Blue-Green,Canary",본 프로젝트에 GitHub Actions로 PR 단위 자동 테스트,4
운영·인프라,BE-OPS-003,관측성(Observability),로그 보는 수준,메트릭(Prometheus)·트레이싱(Zipkin) 도입,"SLO/SLI 정의, 알림 설계, 사고 대응 플레이북",조직 관측성 표준·툴체인,"Prometheus,Grafana,Zipkin,OpenTelemetry,SLO,Tracing,Metrics",Spring Boot + Prometheus + Grafana 도입 (로컬),3
운영·인프라,BE-OPS-004,구조화 로깅,println·log 출력,"JSON 로그, MDC 컨텍스트(trace_id, user_id) 포함","ELK/Loki 수집 파이프라인, PII 마스킹",로그 표준·보존 정책·법규 대응,"Logging,JSON Log,MDC,ELK,Loki,Logback",Logback 설정으로 JSON 구조화 로그 출력,3
메시징·스트리밍,BE-MSG-001,Kafka,용어 수준 이해,"Producer·Consumer 작성, 토픽·파티션 설계","Exactly-once, 컨슈머 그룹 운영, 백프레셔",이벤트 스트리밍 플랫폼 설계,"Kafka,Producer,Consumer,Topic,Partition,Exactly-once",Kafka 도커로 띄우고 회원가입 이벤트 발행/구독,3
