카테고리,역량_ID,역량명,신입 (0년),주니어 (1-2년),시니어 (3-5년),리드 (5년+),매칭 키워드,부족 시 보완 액션,가중치
클라우드 플랫폼,IC-CLOUD-001,AWS 기본,EC2 인스턴스 띄워본 적 있음,EC2·RDS·S3·VPC 기본 운영. IAM 정책 이해,"Auto Scaling·Load Balancer·CloudFront, 비용 최적화","멀티 계정·랜딩존, 조직 거버넌스","AWS,EC2,RDS,S3,VPC,IAM,CloudFront,Auto Scaling",AWS Free Tier로 작은 서비스 1개 배포,5
클라우드 플랫폼,IC-CLOUD-002,GCP / Azure (부가),용어 수준,튜토리얼 수준 사용,프로젝트 단위 운영 경험,멀티클라우드 전략,"GCP,Azure,Cloud Run,AKS",GCP $300 크레딧으로 작은 서비스 1개 배포,1
컨테이너·오케스트레이션,IC-CONT-001,Docker,"Dockerfile 작성, 단일 컨테이너 실행",멀티스테이지·docker-compose 활용,"이미지 보안 스캔, 최적화, 컨테이너 라이프사이클",조직 컨테이너 표준,"Docker,Container,Dockerfile,Compose",본 프로젝트 docker-compose 구성,5
컨테이너·오케스트레이션,IC-CONT-002,Kubernetes,용어 수준,"Pod·Service·Deployment 작성, kubectl 사용","Helm 차트, Ingress, ConfigMap·Secret 관리","클러스터 설계·운영, 멀티테넌시","Kubernetes,k8s,Pod,Deployment,Service,Helm,Ingress",minikube로 본 프로젝트 배포 실습,3
컨테이너·오케스트레이션,IC-CONT-003,GitOps / ArgoCD,용어 수준,ArgoCD로 단일 앱 동기화,"App of Apps 패턴, 환경 분리",조직 GitOps 표준,"GitOps,ArgoCD,FluxCD",ArgoCD 로컬 설치 + 본 프로젝트 동기화 실습,2
IaC,IC-IAC-001,Terraform,용어 수준,단일 모듈로 EC2/RDS 프로비저닝,"모듈화·워크스페이스·remote state, 변경 계획 리뷰",조직 Terraform 표준·드리프트 관리,"Terraform,IaC,Module,Workspace,State",본 프로젝트 v2 인프라를 Terraform으로 정의 (드라이런),3
IaC,IC-IAC-002,Ansible / 설정 관리,용어 수준,기본 플레이북 작성,"롤·인벤토리 구조, 멱등성 보장",조직 설정 관리 표준,"Ansible,Playbook,Role,Inventory",Ansible로 본 PC 셋업 자동화,1
CI/CD,IC-CICD-001,GitHub Actions,기본 워크플로 작성,테스트·빌드·이미지 푸시 파이프라인,"재사용 워크플로, 셀프 호스트 러너, 보안 스캐닝",조직 CI/CD 플랫폼 표준,"GitHub Actions,CI,CD,Workflow,Runner",본 프로젝트에 PR 단위 자동 테스트 워크플로,5
CI/CD,IC-CICD-002,Jenkins (부가),용어 수준,파이프라인 작성,"마스터·에이전트 운영, 플러그인 관리",조직 Jenkins 운영,"Jenkins,Pipeline,Groovy",Jenkinsfile로 본 프로젝트 빌드 1회,1
CI/CD,IC-CICD-003,배포 전략,수동 배포,롤링·블루그린 이해,"카나리·점진 배포, 자동 롤백",조직 배포 표준,"Rolling,Blue-Green,Canary,Rollback",본 프로젝트에 블루그린 배포 시뮬레이션,3
관측성·운영,IC-OBS-001,메트릭·모니터링,기본 로그 보기,"Prometheus·Grafana 도입, 알림 설정","SLO/SLI 정의, 에러 버짓 운영",조직 SRE 문화·표준,"Prometheus,Grafana,Datadog,SLO,SLI,Alert",본 프로젝트에 Prometheus + Grafana 로컬 도입,4
관측성·운영,IC-OBS-002,트레이싱,용어 수준,Zipkin/Jaeger 도입,"분산 트레이싱, OpenTelemetry 표준",추적 인프라 설계,"OpenTelemetry,Zipkin,Jaeger,Tracing",Spring Boot에 Zipkin 트레이싱 적용,2
관측성·운영,IC-OBS-003,로그 수집,kubectl logs,ELK·Loki 스택 운영,"PII 마스킹, 멀티 테넌시, 비용 최적화",조직 로그 표준,"ELK,Loki,Fluentd,Logstash,Elasticsearch",Loki + Grafana로 본 프로젝트 로그 검색,2
네트워크·보안,IC-NETSEC-001,네트워크 기초,VPC·서브넷·라우팅 용어 이해,"보안 그룹·NACL 설계, 로드밸런서",VPN·Transit Gateway·VPC 피어링,조직 네트워크 표준,"VPC,Subnet,Security Group,NACL,Load Balancer,Route Table",AWS VPC + 퍼블릭/프라이빗 서브넷 1셋 구성,3
네트워크·보안,IC-NETSEC-002,IAM·시크릿,IAM 사용자 생성,역할·정책·최소 권한 원칙,"Secrets Manager·KMS, 자동 회전",조직 IAM 거버넌스,"IAM,Role,Policy,Secrets Manager,KMS",본 프로젝트 시크릿을 Secrets Manager로 이관,4
네트워크·보안,IC-NETSEC-003,보안 스캐닝·인증,용어 수준,기본 컨테이너 이미지 스캔,"SAST/DAST 도구 도입, OWASP Top 10 대응",조직 보안 표준·인증(ISMS·SOC2),"OWASP,SAST,DAST,Trivy,Snyk",Trivy로 본 프로젝트 이미지 스캔,2
