카테고리,역량_ID,역량명,신입 (0년),주니어 (1-2년),시니어 (3-5년),리드 (5년+),매칭 키워드,부족 시 보완 액션,가중치
언어·프레임워크,FE-LANG-001,JavaScript / TypeScript,"기본 문법, 비동기(Promise) 이해",TypeScript 타입 시스템 능숙. ES6+ 기능 활용,"고급 타입(제네릭·매핑드 타입), 비동기 흐름 제어",타입 정책·코딩 컨벤션 수립,"JavaScript,TypeScript,ES6,Promise,Async,Generic",TypeScript Deep Dive 정독. 기존 JS 프로젝트를 TS로 마이그레이션,5
언어·프레임워크,FE-LANG-002,React,함수형 컴포넌트·Hooks 기본,"상태 관리, useEffect 의존성, 메모이제이션","Suspense·Server Component, 동시성 모드, 렌더링 최적화",프레임워크 선택 의사결정·아키텍처,"React,Hooks,JSX,useState,useEffect,Suspense,Server Component",본 프로젝트 프론트엔드 컴포넌트 직접 작성,5
언어·프레임워크,FE-LANG-003,Next.js,App Router 페이지 생성,라우팅·레이아웃·Server Action 활용,"RSC 최적화, ISR/SSR/SSG 선택, 미들웨어",Next.js 기반 풀스택 아키텍처,"Next.js,App Router,RSC,SSR,SSG,ISR,Server Action",본 프로젝트 페이지 5개를 Next.js App Router로 구성,5
언어·프레임워크,FE-LANG-004,Vue / Angular (부가),용어 수준,튜토리얼 수준 사용 경험,팀 표준에 맞춰 운영 가능,프레임워크 비교·의사결정,"Vue,Angular,Nuxt",React와 비교 위해 Vue 튜토리얼 1회,1
스타일링·UI,FE-STYL-001,CSS·HTML 기초,Flexbox·Grid 기본 사용,"반응형 디자인, 미디어 쿼리","CSS 아키텍처(ITCSS·BEM), 모션·애니메이션",디자인 시스템 설계,"CSS,HTML,Flexbox,Grid,Responsive,BEM,Semantic",본 프로젝트의 1개 페이지를 반응형으로 직접 작성,5
스타일링·UI,FE-STYL-002,Tailwind / CSS-in-JS,tailwind 클래스 검색해서 사용,"유틸리티 컴포지션, 디자인 토큰화","디자인 시스템 매핑, 다크모드·테마",스타일링 표준 수립,"Tailwind,CSS-in-JS,Styled Components,Emotion,Design Token",본 프로젝트에 Tailwind 도입 + 컴포넌트화,4
스타일링·UI,FE-STYL-003,컴포넌트 디자인,기본 UI 컴포넌트(버튼·인풋) 작성,재사용 가능한 컴포넌트 라이브러리 작성,"Headless UI 패턴, 접근성 고려 컴포넌트",디자인 시스템 책임자,"Component,Headless UI,shadcn/ui,Radix,Reusable",shadcn/ui 도입 또는 자체 컴포넌트 5개 라이브러리화,3
상태관리·데이터,FE-STATE-001,상태관리 라이브러리,useState로 로컬 상태 관리,"Context API, Redux/Zustand 1개 능숙",서버 상태 vs 클라이언트 상태 분리 (TanStack Query),상태관리 전략 표준,"Redux,Zustand,Recoil,Context,TanStack Query,React Query,SWR",본 프로젝트에 TanStack Query 도입 + 캐싱 전략,4
상태관리·데이터,FE-STATE-002,Form 처리,controlled input 기본,React Hook Form 또는 Formik 사용,"복잡한 폼 검증, 단계별 폼, 동적 필드",폼 표준화·재사용 패턴,"Form,React Hook Form,Formik,Validation,Yup,Zod",본 프로젝트의 자소서 작성 폼을 RHF + Zod로 구현,3
상태관리·데이터,FE-STATE-003,API 통신,fetch/axios 기본,인터셉터·에러 핸들링·재시도,토큰 갱신·캐시·요청 중복 제거,통신 레이어 표준,"Fetch,Axios,Interceptor,Retry,Token Refresh",axios 인터셉터로 JWT 자동 갱신 구현,3
